0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
abdominal,abdominals,,,,,,,,,,,,,,,,
absorb,absorbs,absorbed,absorbing,absorbings,,,,,,,,,,,,,
absorption,absorption;absorptions,absorptions,,,,,,,,,,,,,,,
accelerate,accelerates,accelerated,accelerating,,,,,,,,,,,,,,
acceleration,acceleration;accelerations,accelerations,,,,,,,,,,,,,,,
accent,accents,accented,accenting,accentings,,,,,,,,,,,,,
accumulate,accumulates,accumulated,accumulating,accumulatings,,,,,,,,,,,,,
accumulation,accumulation;accumulations,accumulations,,,,,,,,,,,,,,,
accuracy,accuracies,,,,,,,,,,,,,,,,
accurately,,,,,,,,,,,,,,,,,
acid,acids,,,,,,,,,,,,,,,,
acidic,acidic;acidics,acidics,,,,,,,,,,,,,,,
activate,activates,activated,activating,activatings,,,,,,,,,,,,,
actively,,,,,,,,,,,,,,,,,
acute,acutest,,,,,,,,,,,,,,,,
adaptation,adaptations,,,,,,,,,,,,,,,,
adaptive,adaptive;adaptives,adaptives,,,,,,,,,,,,,,,
adjacent,adjacents,,,,,,,,,,,,,,,,
admission,admissions,,,,,,,,,,,,,,,,
adolescent,adolescents,,,,,,,,,,,,,,,,
adverse,,,,,,,,,,,,,,,,,
aerosol,aerosol;aerosols,aerosols,,,,,,,,,,,,,,,
aesthetic,aesthetics,esthetic,esthetics,,,,,,,,,,,,,,
affirm,affirm;affirms,affirmed;affirms,affirmed;affirming,affirming;affirmings,affirmings,,,,,,,,,,,,
afterward,afterwards,,,,,,,,,,,,,,,,
aggregate,aggregates,aggregated,aggregating,aggregatings,,,,,,,,,,,,,
agriculture,agricultures,,,,,,,,,,,,,,,,
airplane,airplanes,aeroplane,aeroplanes,,,,,,,,,,,,,,
algebra,algebra;algebras,algebras,,,,,,,,,,,,,,,
algorithm,algorithm;algorithms,algorithms,,,,,,,,,,,,,,,
alien,aliens,,,,,,,,,,,,,,,,
alliance,alliances,,,,,,,,,,,,,,,,
allocate,allocates,allocated,allocating,allocatings,,,,,,,,,,,,,
allocation,allocations,,,,,,,,,,,,,,,,
altitude,altitude;altitudes,altitudes,,,,,,,,,,,,,,,
aluminum,aluminium,,,,,,,,,,,,,,,,
amino,amino,,,,,,,,,,,,,,,,
amongst,,,,,,,,,,,,,,,,,
amplitude,amplitude;amplitudes,amplitudes,,,,,,,,,,,,,,,
analogy,analogies,,,,,,,,,,,,,,,,
ancestor,ancestors,,,,,,,,,,,,,,,,
anthropology,anthropologies;anthropology,anthropologies,,,,,,,,,,,,,,,
anti,anti;antis,antis,,,,,,,,,,,,,,,
antibiotic,antibiotics,,,,,,,,,,,,,,,,
antibody,antibodies,,,,,,,,,,,,,,,,
antiquity,antiquities;antiquity,antiquities,,,,,,,,,,,,,,,
appendix,appendices;appendix,appendices;appendixes,appendixes,,,,,,,,,,,,,,
applause,applause,,,,,,,,,,,,,,,,
apple,apples,,,,,,,,,,,,,,,,
approximate,approximate;approximates,approximated;approximates,approximated;approximating,approximating;approximatings,approximatings,,,,,,,,,,,,
approximation,approximation;approximations,approximations,,,,,,,,,,,,,,,
arbitrary,arbitrary,,,,,,,,,,,,,,,,
archaeology,archaeologies;archaeology,archaeologies,,,,,,,,,,,,,,,
architect,architects,architected,architecting,architectings,,,,,,,,,,,,,
array,arrays,arrayed,arraying,arrayings,,,,,,,,,,,,,
arrow,arrows,arrowed,arrowing,arrowings,,,,,,,,,,,,,
articulate,articulates,articulated,articulating,articulatings,,,,,,,,,,,,,
artifact,artifacts,artefact,artefacts,,,,,,,,,,,,,,
artificial,artificials,,,,,,,,,,,,,,,,
artistic,artistics,,,,,,,,,,,,,,,,
artwork,artwork;artworks,artworks,,,,,,,,,,,,,,,
aspect,aspects,,,,,,,,,,,,,,,,
assembly,assemblies,,,,,,,,,,,,,,,,
assert,asserts,asserted,asserting,assertings,,,,,,,,,,,,,
assignment,assignments,,,,,,,,,,,,,,,,
athletic,athletics,,,,,,,,,,,,,,,,
atom,atoms,,,,,,,,,,,,,,,,
atomic,atomic;atomics,atomics,,,,,,,,,,,,,,,
auction,auctions,auctioned,auctioning,auctionings,,,,,,,,,,,,,
audio,,,,,,,,,,,,,,,,,
audit,audits,audited,auditing,auditings,,,,,,,,,,,,,
authority,authorities,,,,,,,,,,,,,,,,
autonomy,autonomies,,,,,,,,,,,,,,,,
availability,availabilities,,,,,,,,,,,,,,,,
axiom,axiom;axioms,axioms,,,,,,,,,,,,,,,
axis,,,,,,,,,,,,,,,,,
backward,backwards,,,,,,,,,,,,,,,,
bacteria,,,,,,,,,,,,,,,,,
bacterial,bacterial;bacterials,bacterials,,,,,,,,,,,,,,,
bang,bangs,banged,banging,bangings,,,,,,,,,,,,,
bargain,bargains,bargained,bargaining,bargainings,,,,,,,,,,,,,
barrel,barrels,barrelled,barrelling,barrellings,barreled,barreling,barrelings,,,,,,,,,,
basin,basins,basined,,,,,,,,,,,,,,,
