abdominal,abdominals,,,,,,,,,,,,,,,,
absorb,absorbs,absorbed,absorbing,absorbings,,,,,,,,,,,,,
absorption,absorptions,,,,,,,,,,,,,,,,
accelerate,accelerates,accelerated,accelerating,,,,,,,,,,,,,,
acceleration,accelerations,,,,,,,,,,,,,,,,
accent,accents,accented,accenting,accentings,,,,,,,,,,,,,
accumulate,accumulates,accumulated,accumulating,accumulatings,,,,,,,,,,,,,
accumulation,accumulations,,,,,,,,,,,,,,,,
accuracy,accuracies,,,,,,,,,,,,,,,,
accurately,,,,,,,,,,,,,,,,,
acid,acids,,,,,,,,,,,,,,,,
acidic,acidics,,,,,,,,,,,,,,,,
activate,activates,activated,activating,activatings,,,,,,,,,,,,,
actively,,,,,,,,,,,,,,,,,
acute,acutest,,,,,,,,,,,,,,,,
adaptation,adaptations,,,,,,,,,,,,,,,,
adaptive,adaptives,,,,,,,,,,,,,,,,
adjacent,adjacents,,,,,,,,,,,,,,,,
admission,admissions,,,,,,,,,,,,,,,,
adolescent,adolescents,,,,,,,,,,,,,,,,
adverse,,,,,,,,,,,,,,,,,
aesthetic,aesthetics,esthetic,esthetics,,,,,,,,,,,,,,
affirm,affirms,affirmed,affirming,affirmings,,,,,,,,,,,,,
afterward,afterwards,,,,,,,,,,,,,,,,
aggregate,aggregates,aggregated,aggregating,aggregatings,,,,,,,,,,,,,
agriculture,agricultures,,,,,,,,,,,,,,,,
airplane,airplanes,aeroplane,aeroplanes,,,,,,,,,,,,,,
algebra,algebras,,,,,,,,,,,,,,,,
algorithm,algorithms,,,,,,,,,,,,,,,,
alien,aliens,,,,,,,,,,,,,,,,
alliance,alliances,,,,,,,,,,,,,,,,
allocate,allocates,allocated,allocating,allocatings,,,,,,,,,,,,,
allocation,allocations,,,,,,,,,,,,,,,,
altitude,altitudes,,,,,,,,,,,,,,,,
aluminum,aluminium,,,,,,,,,,,,,,,,
amino,,,,,,,,,,,,,,,,,
amongst,,,,,,,,,,,,,,,,,
amplitude,amplitudes,,,,,,,,,,,,,,,,
analogy,analogies,,,,,,,,,,,,,,,,
ancestor,ancestors,,,,,,,,,,,,,,,,
anthropology,anthropologies,,,,,,,,,,,,,,,,
anti,antis,,,,,,,,,,,,,,,,
antibiotic,antibiotics,,,,,,,,,,,,,,,,
antibody,antibodies,,,,,,,,,,,,,,,,
antiquity,antiquities,,,,,,,,,,,,,,,,
appendix,appendices,appendixes,,,,,,,,,,,,,,,
applause,,,,,,,,,,,,,,,,,
apple,apples,,,,,,,,,,,,,,,,
approximate,approximates,approximated,approximating,approximatings,,,,,,,,,,,,,
approximation,approximations,,,,,,,,,,,,,,,,
arbitrary,,,,,,,,,,,,,,,,,
architect,architects,architected,architecting,architectings,,,,,,,,,,,,,
array,arrays,arrayed,arraying,arrayings,,,,,,,,,,,,,
arrow,arrows,arrowed,arrowing,arrowings,,,,,,,,,,,,,
articulate,articulates,articulated,articulating,articulatings,,,,,,,,,,,,,
artifact,artifacts,artefact,artefacts,,,,,,,,,,,,,,
artificial,artificials,,,,,,,,,,,,,,,,
artistic,artistics,,,,,,,,,,,,,,,,
artwork,artworks,,,,,,,,,,,,,,,,
aspect,aspects,,,,,,,,,,,,,,,,
assembly,assemblies,,,,,,,,,,,,,,,,
assert,asserts,asserted,asserting,assertings,,,,,,,,,,,,,
assignment,assignments,,,,,,,,,,,,,,,,
athletic,athletics,,,,,,,,,,,,,,,,
atom,atoms,,,,,,,,,,,,,,,,
atomic,atomics,,,,,,,,,,,,,,,,
auction,auctions,auctioned,auctioning,auctionings,,,,,,,,,,,,,
audio,,,,,,,,,,,,,,,,,
audit,audits,audited,auditing,auditings,,,,,,,,,,,,,
authority,authorities,,,,,,,,,,,,,,,,
autonomy,autonomies,,,,,,,,,,,,,,,,
availability,availabilities,,,,,,,,,,,,,,,,
axis,,,,,,,,,,,,,,,,,
backward,backwards,,,,,,,,,,,,,,,,
bacteria,,,,,,,,,,,,,,,,,
bacterial,bacterials,,,,,,,,,,,,,,,,
bang,bangs,banged,banging,bangings,,,,,,,,,,,,,
bargain,bargains,bargained,bargaining,bargainings,,,,,,,,,,,,,
barrel,barrels,barrelled,barrelling,barrellings,barreled,barreling,barrelings,,,,,,,,,,
basin,basins,basined,,,,,,,,,,,,,,,
bat,bats,batted,batting,battings,,,,,,,,,,,,,
beam,beams,beamed,beaming,beamings,,,,,,,,,,,,,
behavioral,behavioural,,,,,,,,,,,,,,,,
bilingual,bilinguals,,,,,,,,,,,,,,,,
binary,binarys,binaries,,,,,,,,,,,,,,,
biodiversity,,,,,,,,,,,,,,,,,
biologist,biologists,,,,,,,,,,,,,,,,
biology,biologies,,,,,,,,,,,,,,,,
bizarre,,,,,,,,,,,,,,,,,
blank,blanks,blanked,blanking,blanker,,,,,,,,,,,,,
bleed,bleeds,bled,bleeding,bleedin,,,,,,,,,,,,,
bodily,,,,,,,,,,,,,,,,,
bonus,bonuses,,,,,,,,,,,,,,,,
bound,bounds,bounded,bounding,boundings,,,,,,,,,,,,,
bracket,brackets,bracketed,bracketted,,,,,,,,,,,,,,
breakdown,breakdowns,,,,,,,,,,,,,,,,
broadly,,,,,,,,,,,,,,,,,
bubble,bubbles,bubbled,bubbling,bubblings,,,,,,,,,,,,,
bucket,buckets,,,,,,,,,,,,,,,,
bulk,bulks,bulked,bulking,bulkings,,,,,,,,,,,,,
bullet,bullets,,,,,,,,,,,,,,,,
bundle,bundles,bundled,bundling,bundlings,,,,,,,,,,,,,
calcium,,,,,,,,,,,,,,,,,
calculation,calculations,,,,,,,,,,,,,,,,
calculator,calculators,,,,,,,,,,,,,,,,
calculus,,,,,,,,,,,,,,,,,
campus,campuses,,,,,,,,,,,,,,,,
capitalism,capitalisms,,,,,,,,,,,,,,,,
capitalist,capitalists,,,,,,,,,,,,,,,,
carrier,carriers,,,,,,,,,,,,,,,,
cattle,,,,,,,,,,,,,,,,,
censor,censors,censored,censoring,censorings,,,,,,,,,,,,,
characterization,characterizations,characterisation,characterisations,,,,,,,,,,,,,,
cheat,cheats,cheated,cheating,cheatings,,,,,,,,,,,,,
cheer,cheers,cheered,cheering,cheerings,,,,,,,,,,,,,
chemistry,chemistries,,,,,,,,,,,,,,,,
chemotherapy,chemotherapies,,,,,,,,,,,,,,,,
chess,,,,,,,,,,,,,,,,,
chloride,chlorides,,,,,,,,,,,,,,,,
chromosome,chromosomes,,,,,,,,,,,,,,,,
chronic,chronics,,,,,,,,,,,,,,,,
chunk,chunks,chunked,chunking,chunkings,,,,,,,,,,,,,
cinema,cinemas,,,,,,,,,,,,,,,,
circa,,,,,,,,,,,,,,,,,
circulate,circulates,circulated,circulating,circulatings,,,,,,,,,,,,,
circulation,circulations,,,,,,,,,,,,,,,,
civilization,civilizations,civilisation,civilisations,,,,,,,,,,,,,,
clarify,clarifies,clarified,clarifying,clarifyings,,,,,,,,,,,,,
classification,classifications,,,,,,,,,,,,,,,,
classify,classifies,classified,classifying,classifyings,,,,,,,,,,,,,
classroom,classrooms,,,,,,,,,,,,,,,,
clay,clays,,,,,,,,,,,,,,,,
clever,cleverer,cleverest,,,,,,,,,,,,,,,
client,clients,,,,,,,,,,,,,,,,
clinic,clinics,,,,,,,,,,,,,,,,
clip,clips,clipped,clipping,clippings,,,,,,,,,,,,,
clone,clones,cloned,cloning,clonings,,,,,,,,,,,,,
closure,closures,,,,,,,,,,,,,,,,
clue,clues,clued,cluing,cluings,,,,,,,,,,,,,
coefficient,coefficients,,,,,,,,,,,,,,,,
cognitive,,,,,,,,,,,,,,,,,
coherent,,,,,,,,,,,,,,,,,
collective,collectives,,,,,,,,,,,,,,,,
colonial,colonials,,,,,,,,,,,,,,,,
colony,colonies,,,,,,,,,,,,,,,,
comma,commas,,,,,,,,,,,,,,,,
commentary,commentaries,,,,,,,,,,,,,,,,
commodity,commodities,,,,,,,,,,,,,,,,
commonly,,,,,,,,,,,,,,,,,
communist,communists,,,,,,,,,,,,,,,,
compact,compacts,compacted,compacting,compacter,,,,,,,,,,,,,
comparable,comparables,,,,,,,,,,,,,,,,
comparative,comparatives,,,,,,,,,,,,,,,,
compensate,compensates,compensated,compensating,compensatings,,,,,,,,,,,,,
competence,competences,,,,,,,,,,,,,,,,
competent,,,,,,,,,,,,,,,,,
complement,complements,complemented,complementing,complementings,,,,,,,,,,,,,
complication,complications,,,,,,,,,,,,,,,,
comply,complies,complied,complying,complyings,,,,,,,,,,,,,
composer,composers,,,,,,,,,,,,,,,,
composite,,,,,,,,,,,,,,,,,
comprehension,,,,,,,,,,,,,,,,,
computation,computations,,,,,,,,,,,,,,,,
conceive,conceives,conceived,conceiving,conceivings,,,,,,,,,,,,,
conception,conceptions,,,,,,,,,,,,,,,,
conceptual,conceptuals,,,,,,,,,,,,,,,,
conditional,conditionals,,,,,,,,,,,,,,,,
cone,cones,,,,,,,,,,,,,,,,
configuration,configurations,,,,,,,,,,,,,,,,
connector,connectors,,,,,,,,,,,,,,,,
conscious,,,,,,,,,,,,,,,,,
consciousness,consciousnesses,,,,,,,,,,,,,,,,
consensus,,,,,,,,,,,,,,,,,
consent,consents,consented,consenting,consentings,,,,,,,,,,,,,
conservation,conservations,,,,,,,,,,,,,,,,
conserve,conserves,conserved,conserving,conservings,,,,,,,,,,,,,
constitution,constitutions,,,,,,,,,,,,,,,,
consultation,consultations,,,,,,,,,,,,,,,,
consumption,consumptions,,,,,,,,,,,,,,,,
container,containers,,,,,,,,,,,,,,,,
continent,continents,,,,,,,,,,,,,,,,
continuity,continuities,,,,,,,,,,,,,,,,
contradict,contradicts,contradicted,contradicting,contradictings,,,,,,,,,,,,,
contradiction,contradictions,,,,,,,,,,,,,,,,
contradictory,,,,,,,,,,,,,,,,,
contrary,contraries,,,,,,,,,,,,,,,,
controversy,controversies,,,,,,,,,,,,,,,,
converge,converges,converged,converging,convergings,,,,,,,,,,,,,
convergence,convergences,,,,,,,,,,,,,,,,
coordinate,coordinates,coordinated,coordinating,coordinatings,,,,,,,,,,,,,
coordination,coordinations,,,,,,,,,,,,,,,,
cord,cords,corded,cording,cordings,,,,,,,,,,,,,
coronary,,,,,,,,,,,,,,,,,
corpus,,,,,,,,,,,,,,,,,
correction,corrections,,,,,,,,,,,,,,,,
correctly,,,,,,,,,,,,,,,,,
correlate,correlates,correlated,correlating,correlatings,,,,,,,,,,,,,
correlation,correlations,,,,,,,,,,,,,,,,
correspondence,correspondences,,,,,,,,,,,,,,,,
corruption,corruptions,,,,,,,,,,,,,,,,
cortex,cortexes,cortices,,,,,,,,,,,,,,,
credibility,,,,,,,,,,,,,,,,,
