Word,file1_col1,file1_col2,file2_col1,file2_col2,file2_col3,file2_col4,file2_col5,file2_col6,file2_col7,file2_col8,file2_col9,file2_col10,file2_col11,file2_col12,file2_col13,file2_col14,file2_col15,file2_col16,file2_col17,file2_col18
FALSE,2148,FALSE,FALSE,falser,falsest,,,,,,,,,,,,,,,
I,70,I,I,me;my,my,mine,,,,,,,,,,,,,,
TRUE,528,TRUE,TRUE,trues,trued,truing,truer,truest,,,,,,,,,,,,
a,56,a,a,an,,,,,,,,,,,,,,,,
abandon,2015,abandon,abandon,abandons,abandoned,abandoning,abandonings,,,,,,,,,,,,,
ability,829,ability,ability,abilities,,,,,,,,,,,,,,,,
able,321,able,able,abler;ablest,ables;ablest,abled;ables,abled;abling,abling;ablings,ablings,,,,,,,,,,,
aboard,4310,aboard,aboard,,,,,,,,,,,,,,,,,
abortion,2592,abortion,abortion,abortions,,,,,,,,,,,,,,,,
about,87,about,about,abouts,,,,,,,,,,,,,,,,
above,490,above,above,,,,,,,,,,,,,,,,,
abroad,1933,abroad,abroad,abroads,,,,,,,,,,,,,,,,
absence,1808,absence,absence,absences,,,,,,,,,,,,,,,,
absent,3268,absent,absent,absents,absented,absenting,absentings,,,,,,,,,,,,,
absolute,2448,absolute,absolute,absolutes,,,,,,,,,,,,,,,,
absolutely,1128,absolutely,absolutely,,,,,,,,,,,,,,,,,
absorb,2917,absorb,absorb,absorbs,absorbed,absorbing,absorbings,,,,,,,,,,,,,
abstract,2771,abstract,abstract,abstracts,abstracted,abstracting,abstractings,,,,,,,,,,,,,
abuse,1603,abuse,abuse,abuses,abused,abusing,abusings,,,,,,,,,,,,,
academic,1801,academic,academic,academics,academick,,,,,,,,,,,,,,,
accelerate,3583,accelerate,accelerate,accelerates,accelerated,accelerating,,,,,,,,,,,,,,
accent,3029,accent,accent,accents,accented,accenting,accentings,,,,,,,,,,,,,
accept,611,accept,accept,accepted;accepts,accepted;accepting,accepting;acceptings,acceptings,,,,,,,,,,,,,
acceptable,2478,acceptable,acceptable,acceptables,,,,,,,,,,,,,,,,
acceptance,3110,acceptance,acceptance,acceptances,,,,,,,,,,,,,,,,
access,852,access,access,accesses,accessed,accessing,accessings,,,,,,,,,,,,,
accessible,3207,accessible,accessible,accessibles,,,,,,,,,,,,,,,,
accident,1399,accident,accident,accidents,,,,,,,,,,,,,,,,
accommodate,3339,accommodate,accommodate,accommodates,accommodated,accommodating,accommodatings,,,,,,,,,,,,,
accommodation,1953,accommodation,accommodation,accommodations,,,,,,,,,,,,,,,,
accompany,1861,accompany,accompany,accompanies,accompanied,accompanying,accompanyings,,,,,,,,,,,,,
accomplish,2506,accomplish,accomplish,accomplishes,accomplished,accomplishing,accomplishings,,,,,,,,,,,,,
accord,572,accord,accord,accords,accorded,according,accordings,,,,,,,,,,,,,
accordingly,3428,accordingly,accordingly,,,,,,,,,,,,,,,,,
account,486,account,account,accounted;accounts,accounted;accounting,accounting;accountings,accountings,,,,,,,,,,,,,
accountant,3984,accountant,accountant,accountants,,,,,,,,,,,,,,,,
accumulate,3766,accumulate,accumulate,accumulates,accumulated,accumulating,accumulatings,,,,,,,,,,,,,
accuracy,3578,accuracy,accuracy,accuracies,,,,,,,,,,,,,,,,
accurate,2333,accurate,accurate,,,,,,,,,,,,,,,,,
accurately,3953,accurately,accurately,,,,,,,,,,,,,,,,,
accuse,1805,accuse,accuse,accuses,accused,accusing,accusings,,,,,,,,,,,,,
accustom,4811,accustom,accustom,accustoms,accustomed,accustoming,accustomings,,,,,,,,,,,,,
