Word,file1_col1,file1_col2
April,10,April
December,17,December
February,9,February
Friday,5,Friday
January,8,January
July,12,July
June,11,June
Monday,1,Monday
November,16,November
October,15,October
Saturday,6,Saturday
September,14,September
Sunday,7,Sunday
Thursday,4,Thursday
Tuesday,2,Tuesday
Wednesday,3,Wednesday
Word,WordID,Word
abolish,4678,abolish
absurd,4950,absurd
accordance,4190,accordance
accountability,4272,accountability
accusation,4528,accusation
ache,4824,ache
acquaintance,4967,acquaintance
acre,3282,acre
activist,3215,activist
addict,4484,addict
addiction,5000,addiction
adequately,4771,adequately
admiration,4999,admiration
adoption,3584,adoption
affection,3903,affection
affiliate,4385,affiliate
aggression,4242,aggression
aide,4125,aide
albeit,4586,albeit
align,4712,align
allegation,3313,allegation
allegedly,4569,allegedly
allowance,3684,allowance
alteration,4529,alteration
ambition,3057,ambition
ambulance,4617,ambulance
amend,3964,amend
amid,4120,amid
anchor,4170,anchor
angel,4134,angel
animate,4727,animate
ankle,4713,ankle
anonymous,4166,anonymous
ant,4968,ant
anticipation,5021,anticipation
appall,4229,appall
appetite,4798,appetite
appropriately,4849,appropriately
arch,4069,arch
arena,4130,arena
armor,4717,armor
arouse,5033,arouse
artery,5006,artery
ash,4399,ash
aspiration,4588,aspiration
ass,4992,ass
assault,2938,assault
assertion,4800,assertion
astonish,3567,astonish
august,13,august
avenue,4683,avenue
awake,3938,awake
awkward,4157,awkward
ax,4562,ax
ballet,4724,ballet
ballot,3366,ballot
banana,4479,banana
bare,3238,bare
bark,4202,bark
barn,4611,barn
bass,4281,bass
bastard,5004,bastard
batch,4594,batch
batter,4391,batter
bay,3060,bay
beard,4622,beard
beast,4365,beast
beautifully,4299,beautifully
bee,3930,bee
beef,3504,beef
beg,3163,beg
belly,4939,belly
beloved,4560,beloved
benchmark,4973,benchmark
betray,4369,betray
billion,48,billion
biscuit,4975,biscuit
bishop,4048,bishop
bitter,3206,bitter
blade,4025,blade
blast,3345,blast
blaze,4821,blaze
blend,3693,blend
bloom,4862,bloom
blur,4846,blur
boast,3691,boast
boil,3116,boil
bold,3709,bold
bolt,4328,bolt
bomber,4545,bomber
bounce,3657,bounce
bow,3231,bow
boyfriend,3068,boyfriend
brass,4503,brass
brave,3466,brave
breach,3682,breach
breakthrough,4668,breakthrough
brick,2972,brick
bride,4510,bride
bronze,4508,bronze
bruise,4960,bruise
brutal,4984,brutal
buck,3996,buck
builder,4419,builder
bull,3647,bull
bully,4799,bully
bump,4041,bump
bureau,4160,bureau
bureaucracy,4671,bureaucracy
burial,4810,burial
bush,3699,bush
bust,4469,bust
butterfly,4695,butterfly
buzz,4388,buzz
café,2884,café
calorie,4468,calorie
canal,4082,canal
candle,3760,candle
canteen,4693,canteen
canvas,4721,canvas
caption,3968,caption
carriage,3934,carriage
cartoon,4031,cartoon
carve,3184,carve
casualty,3889,casualty
cathedral,3726,cathedral
cave,3595,cave
cease,3208,cease
ceramic,5045,ceramic
cereal,4909,cereal
certainty,4423,certainty
champagne,4640,champagne
chant,4489,chant
chaos,3890,chaos
chap,4181,chap
chapel,4703,chapel
charter,3349,charter
